,Country Code,Country,City Code,City,Population,Density (pop./ sq km),Cycling area share,Speed limit area share,Mode - walking (%),Mode - cycling (%),Mode - public transport (%),Mode - motor vehicles (%),Pedestrian - Bicycle,Pedestrian - PTW,Pedestrian - Car/Taxi,Pedestrian - Bus/Coach,Pedestrian - Goods Vehicle,Pedestrian - Other Vehicles,Cyclist - Itself,Cyclist - Bicycle,Cyclist - PTW,Cyclist - Car/Taxi,Cyclist - Bus/Coach,Cyclist - Goods Vehicle,Cyclist - Other Vehicles,PTW occ. - Itself,PTW occ. - Bicycle,PTW occ. - PTW,PTW occ. - Car/Taxi,PTW occ. - Bus/Coach,PTW occ. - Goods Vehicle,PTW occ. - Other Vehicles,Car/Taxi occ. - Itself,Car/Taxi occ. - Bicycle,Car/Taxi occ. - PTW,Car/Taxi occ. - Car/Taxi,Car/Taxi occ. - Bus/Coach,Car/Taxi occ. - Goods Vehicle,Car/Taxi occ. - Other Vehicles,Bus/Coach occ. - Itself,Bus/Coach occ. - Bicycle,Bus/Coach occ. - PTW,Bus/Coach occ. - Car/Taxi,Bus/Coach occ. - Bus/Coach,Bus/Coach occ. - Goods Vehicle,Bus/Coach occ. - Other Vehicles,Goods Vehicle occ. - Itself,Goods Vehicle occ. - Bicycle,Goods Vehicle occ. - PTW,Goods Vehicle occ. - Car/Taxi,Goods Vehicle occ. - Bus/Coach,Goods Vehicle occ. - Goods Vehicle,Goods Vehicle occ. - Other Vehicles,Other Vehicles occ. - Itself,Other Vehicles occ. - Bicycle,Other Vehicles occ. - PTW,Other Vehicles occ. - Car/Taxi,Other Vehicles occ. - Bus/Coach,Other Vehicles occ. - Goods Vehicle,Other Vehicles occ. - Other Vehicles,Avg yearly precipitation (mm),Avg temperature (dgrC),Avg GDP per capita (EUR)
0,ES,Spain,8019,Barcelona,1620343,16014,0.15,0.775,32.0,2.0,39.0,27.0,2,16,22,8,10,1,1,1,3,5,0,2,1,29,1,7,96,2,19,2,0,0,0,4,0,4,0,6,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,565.0,18.2,31070.55800478741
1,ES,Spain,28079,Madrid,3223334,5332,0.067,0.065,34.0,0.46,24.35,39.89,2,23,201,16,25,7,26,6,3,18,0,5,1,95,0,5,275,7,23,5,44,0,1,72,0,13,0,4,0,1,2,0,1,0,5,0,1,5,0,1,0,0,0,0,4,0,1,0,420.9,15.0,35290.16172177503
2,FR,France,33063,Bordeaux,254436,5104,0.106,0.239,21.0,3.0,9.0,67.0,0,0,13,1,1,2,1,0,0,5,0,1,0,2,1,1,14,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,944.1,13.8,35464.54244948793
3,FR,France,59350,Lille,232787,6687,0.098,0.634,32.0,2.0,10.0,56.0,0,0,5,0,0,1,0,0,1,1,0,0,0,2,0,0,7,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742.5,10.8,31291.929274194106
4,FR,France,69123,Lyon,516092,10758,0.109,0.284,34.0,2.0,19.0,45.0,2,5,31,4,1,2,2,1,2,11,0,1,0,12,0,1,39,0,2,1,8,0,0,21,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,831.9,12.5,48140.02400614351
5,FR,France,13055,Marseille,863310,3564,0.044,0.118,34.0,1.0,11.0,54.0,0,25,56,2,3,2,0,0,2,9,1,2,0,45,1,10,146,1,5,2,30,0,0,48,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,515.4,15.5,36231.61028275765
6,FR,France,34172,Montpellier,285121,4997,0.167,0.125,26.0,2.0,8.0,64.0,0,3,21,1,0,0,0,0,0,4,0,0,0,8,0,0,21,0,0,0,9,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,629.1,15.1,152178.00766418225
7,FR,France,44109,Nantes,309346,4704,0.327,0.354,27.0,5.0,16.0,52.0,1,2,13,0,0,3,1,1,1,7,1,1,0,6,0,0,13,0,0,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819.5,12.5,36188.04787533044
8,FR,France,6088,Nice,340017,4586,0.056,0.102,40.0,1.0,11.0,48.0,2,6,20,0,3,2,0,1,1,2,0,1,0,6,0,6,50,1,1,1,5,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.0,16.0,36217.144056585275
9,FR,France,75056,Paris,2187526,20772,0.186,0.491,47.0,3.0,33.0,17.0,5,25,58,2,3,4,6,1,3,14,1,5,3,48,0,7,132,0,3,1,12,0,1,24,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,1,0,0,637.4,12.4,109123.0147439719
